frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
48,True,True,1.000000,0.200000,0.000000,1.590000,902.519958,0.000000,-15.950000,72.540001,-0.530378,0.530464,-0.467593,-0.467615,0.609500,0.000000,0.000000,0.000000,-6.870000,1100.669922,0.000000,-18.039999,-3.380000,-0.004410,0.000003,0.000003,0.999990,-0.022300,0.000000,0.000000
49,True,True,1.000000,0.200000,0.000000,1.450000,903.149963,0.000000,-17.049999,75.869995,-0.531586,0.531670,-0.466217,-0.466244,0.620500,0.000000,0.000000,0.000000,-7.020000,1100.599976,0.000000,-18.029999,-8.790000,-0.004502,0.000003,0.000003,0.999990,-0.022300,0.000000,0.000000
50,True,True,1.000000,0.200000,0.000000,1.300000,903.809998,0.000000,-18.199999,79.189995,-0.532811,0.532899,-0.464815,-0.464842,0.631300,0.000000,0.000000,0.000000,-7.170000,1100.479980,0.000000,-18.020000,-14.200000,-0.004594,0.000003,0.000003,0.999989,-0.022300,0.000000,0.000000
51,True,True,1.000000,0.200000,0.000000,1.140000,904.500000,0.000000,-19.389999,82.509995,-0.534052,0.534141,-0.463385,-0.463417,0.641900,0.000000,0.000000,0.000000,-7.320000,1100.319946,0.000000,-18.010000,-19.609999,-0.004685,0.000003,0.000003,0.999989,-0.022300,0.000000,0.000000
52,False,False,1.000000,-0.600000,0.000000,0.980000,905.149963,0.000000,-19.459999,77.639999,-0.535147,0.535241,-0.462117,-0.462150,0.567900,0.000000,0.000000,0.000000,-7.470000,1100.109985,0.000000,-18.000000,-25.019999,-0.004777,0.000003,0.000003,0.999989,-0.022300,0.000000,0.000000
53,False,False,1.000000,-0.600000,0.000000,0.820000,905.760010,0.000000,-19.539999,72.769997,-0.536096,0.536197,-0.461011,-0.461044,0.494500,0.000000,0.000000,0.000000,-7.620000,1099.859985,0.000000,-17.990000,-30.429998,-0.004869,0.000003,0.000003,0.999988,-0.022300,0.000000,0.000000
54,False,False,1.000000,-0.600000,0.000000,0.660000,906.329956,0.000000,-19.619999,67.900002,-0.536906,0.537009,-0.460067,-0.460100,0.421700,0.000000,0.000000,0.000000,-7.770000,1099.559937,0.000000,-17.980000,-35.829998,-0.004961,0.000003,0.000003,0.999988,-0.022300,0.000000,0.000000
55,False,False,1.000000,-0.600000,0.000000,0.500000,906.859985,0.000000,-19.699999,63.029999,-0.537575,0.537679,-0.459285,-0.459317,0.349500,0.000000,0.000000,0.000000,-7.920000,1099.219971,0.000000,-17.969999,-41.230000,-0.005052,0.000003,0.000003,0.999987,-0.022300,0.000000,0.000000
56,False,False,1.000000,-0.600000,0.000000,0.340000,907.339966,0.000000,-19.779999,58.160000,-0.538109,0.538203,-0.458665,-0.458697,0.277900,0.000000,0.000000,0.000000,-8.070000,1098.829956,0.000000,-17.959999,-46.629997,-0.005144,0.000003,0.000003,0.999987,-0.022300,0.000000,0.000000
57,False,False,1.000000,-0.600000,0.000000,0.170000,907.779968,0.000000,-19.859999,53.289997,-0.538503,0.538600,-0.458201,-0.458233,0.206900,0.000000,0.000000,0.000000,-8.220000,1098.400024,0.000000,-17.949999,-52.029999,-0.005236,0.000003,0.000003,0.999986,-0.022300,0.000000,0.000000
