frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
41,-16.279999,-38.009998,80.279999,168.389999,45.669998,28.869999,-0.154170,0.535751,0.264845,0.786803,1.865900,0.129300,-1.739600,423.329987,296.059998,212.250000,2209.750000,1552.939941,621.399963,0.376183,-0.509948,0.035582,0.772770,3.556400,-4.821900,0.316800
42,-14.880000,-37.629997,80.519997,168.389999,45.669998,28.869999,-0.144363,0.535185,0.263513,0.789492,1.816300,0.120900,-1.663200,441.739990,309.000000,217.429993,2209.179932,1552.539917,621.239990,0.387475,-0.525345,0.036590,0.756662,3.556400,-4.821900,0.316800
43,-13.480000,-37.250000,80.759995,168.389999,45.669998,28.869999,-0.134868,0.534543,0.262277,0.792014,1.768100,0.112600,-1.590000,460.149994,321.929993,222.610001,2208.609863,1552.140015,621.079956,0.398523,-0.540412,0.037578,0.740082,3.556400,-4.821900,0.316800
44,-12.080000,-36.869999,81.000000,168.389999,45.669998,28.869999,-0.125680,0.533836,0.261144,0.794372,1.721300,0.104300,-1.519900,478.549988,334.859985,227.779999,2208.040039,1551.739990,620.919983,0.409324,-0.555140,0.038543,0.723041,3.556400,-4.821900,0.316800
45,-10.679999,-36.489998,81.239998,168.389999,45.669998,28.869999,-0.116790,0.533070,0.260103,0.796582,1.675900,0.096100,-1.452800,496.949982,347.789978,232.949997,2207.469971,1551.339966,620.760010,0.419865,-0.569523,0.039482,0.705548,3.556400,-4.821900,0.316800
46,-9.280000,-36.110001,81.479996,168.389999,45.669998,28.869999,-0.108190,0.532250,0.259153,0.798651,1.631800,0.088100,-1.388600,515.339966,360.709991,238.119995,2206.899902,1550.939941,620.599976,0.430148,-0.583549,0.040399,0.687613,3.556400,-4.821900,0.316800
47,-7.880000,-35.730000,81.720001,168.389999,45.669998,28.869999,-0.099866,0.531381,0.258290,0.800591,1.589000,0.080200,-1.327100,533.729980,373.630005,243.289993,2206.329834,1550.539917,620.440002,0.440160,-0.597209,0.041289,0.669250,3.556400,-4.821900,0.316800
48,-6.480000,-35.349998,81.959999,168.389999,45.669998,28.869999,-0.091817,0.530470,0.257508,0.802410,1.547500,0.072500,-1.268200,552.109985,386.549988,248.459991,2205.760010,1550.140015,620.279968,0.449898,-0.610496,0.042152,0.650468,3.556400,-4.821900,0.316800
49,-5.080000,-34.969997,82.199997,168.389999,45.669998,28.869999,-0.084027,0.529515,0.256807,0.804117,1.507200,0.065000,-1.211800,570.489990,399.459991,253.629990,2205.199951,1549.739990,620.119995,0.459355,-0.623406,0.042989,0.631276,3.556400,-4.821900,0.316800
50,-3.680000,-34.590000,82.439995,168.389999,45.669998,28.869999,-0.076490,0.528527,0.256181,0.805717,1.468000,0.057600,-1.157800,588.859985,412.369995,258.799988,2204.639893,1549.339966,619.959961,-0.468526,0.635921,-0.043798,-0.611694,3.556400,-4.821900,0.316800
51,-2.280000,-34.209999,82.680000,168.389999,45.669998,28.869999,-0.069197,0.527508,0.255625,0.807219,1.430000,0.050400,-1.106100,607.229980,425.279999,263.970001,2204.079834,1548.939941,619.799988,-0.477401,0.648043,-0.044580,-0.591728,3.556400,-4.821900,0.316800
52,-0.880000,-33.829998,82.919998,168.389999,45.669998,28.869999,-0.062140,0.526461,0.255140,0.808629,1.393100,0.043400,-1.056600,625.589966,438.179993,269.130005,2203.520020,1548.539917,619.640015,-0.485979,0.659760,-0.045335,-0.571389,3.556400,-4.821900,0.316800
53,0.520000,-33.450001,83.159996,168.389999,45.669998,28.869999,-0.055310,0.525388,0.254719,0.809955,1.357200,0.036700,-1.009200,643.950012,451.079987,274.290009,2202.959961,1548.140015,619.479980,-0.494254,0.671063,-0.046064,-0.550695,3.556400,-4.821900,0.316800
54,1.920000,-33.070000,83.400002,168.389999,45.669998,28.869999,-0.048702,0.524298,0.254363,0.811196,1.322300,0.030200,-0.963800,662.299988,463.979980,279.449982,2202.399902,1547.739990,619.320007,-0.502217,0.681951,-0.046760,-0.529655,3.556400,-4.821900,0.316800
55,3.320000,-32.689999,83.639999,168.389999,45.669998,28.869999,-0.042309,0.523187,0.254066,0.812364,1.288400,0.023900,-0.920400,680.649963,476.869995,284.609985,2201.839844,1547.339966,619.159973,-0.509867,0.692410,-0.047429,-0.508286,3.556400,-4.821900,0.316800
56,4.720000,-32.309998,83.879997,168.389999,45.669998,28.869999,-0.036121,0.522065,0.253829,0.813459,1.255500,0.017800,-0.878800,698.989990,489.759979,289.769989,2201.280029,1546.939941,619.000000,-0.517198,0.702436,-0.048071,-0.486599,3.556400,-4.821900,0.316800
57,6.120000,-31.929998,84.119995,168.389999,45.669998,28.869999,-0.030133,0.520926,0.253645,0.814489,1.223500,0.011900,-0.839000,717.329956,502.649994,294.929993,2200.719971,1546.539917,618.839966,-0.524206,0.712022,-0.048680,-0.464610,3.556400,-4.821900,0.316800
58,7.520000,-31.549999,84.360001,168.389999,45.669998,28.869999,-0.024339,0.519777,0.253511,0.815458,1.192500,0.006300,-0.800900,735.659973,515.529968,300.089996,2200.159912,1546.140015,618.679993,-0.530890,0.721162,-0.049257,-0.442329,3.556400,-4.821900,0.316800
59,8.920000,-31.170000,84.599998,168.389999,45.669998,28.869999,-0.018734,0.518623,0.253424,0.816367,1.162300,0.000900,-0.764400,753.989990,528.409973,305.239990,2199.599854,1545.739990,618.519958,-0.537240,0.729851,-0.049808,-0.419773,3.556400,-4.821900,0.316800
60,10.320000,-30.789999,84.839996,168.389999,45.669998,28.869999,-0.013306,0.517463,0.253386,0.817221,1.133000,-0.004200,-0.729500,772.320007,541.289978,310.389984,2199.040039,1545.339966,618.359985,-0.543255,0.738085,-0.050326,-0.396953,3.556400,-4.821900,0.316800
61,11.719999,-30.410000,85.080002,168.389999,45.669998,28.869999,-0.008052,0.516297,0.253392,0.818025,1.104500,-0.009100,-0.696100,790.639954,554.159973,315.539978,2198.479980,1544.939941,618.200012,-0.548931,0.745857,-0.050811,-0.373885,3.556400,-4.821900,0.316800
62,13.120000,-30.029999,85.320000,168.389999,45.669998,28.869999,-0.002964,0.515127,0.253440,0.818782,1.076800,-0.013800,-0.664100,808.959961,567.029968,320.690002,2197.919922,1544.539917,618.039978,-0.554261,0.753165,-0.051264,-0.350585,3.556400,-4.821900,0.316800
63,14.520000,-29.650000,85.559998,168.389999,45.669998,28.869999,0.001956,0.513956,0.253527,0.819493,1.049900,-0.018200,-0.633500,827.269958,579.899963,325.839996,2197.359863,1544.140015,617.880005,-0.559246,0.760002,-0.051685,-0.327063,3.556400,-4.821900,0.316800
64,15.920000,-29.269999,85.799995,168.389999,45.669998,28.869999,0.006719,0.512785,0.253651,0.820163,1.023800,-0.022400,-0.604200,845.579956,592.760010,330.989990,2196.800049,1543.739990,617.719971,-0.563880,0.766364,-0.052073,-0.303337,3.556400,-4.821900,0.316800
65,17.320000,-28.889999,86.040001,168.389999,45.669998,28.869999,0.011332,0.511620,0.253813,0.820790,0.998400,-0.026400,-0.576100,863.880005,605.619995,336.139984,2196.239990,1543.339966,617.559998,-0.568163,0.772247,-0.052430,-0.279422,3.556400,-4.821900,0.316800
