frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
42,104.119995,4930.399902,1000.000000,-634.619995,1918.849976,0.000000,-0.467615,-0.530405,0.530418,0.467615,0.000000,0.000000,-2.570600,-43.009998,5038.659668,1000.000000,-2041.199951,1750.390015,0.000000,0.000003,0.000003,0.099861,0.995001,0.000000,0.000000,6.000000
43,98.829994,4946.389648,1000.000000,-634.619995,1918.849976,0.000000,-0.473134,-0.525485,0.525504,0.473134,0.000000,0.000000,-2.508900,-53.849998,5021.979980,1000.000000,-1301.189941,-1049.959961,0.000000,0.000003,0.000003,0.040599,0.999175,0.000000,0.000000,-6.000000
44,93.540001,4962.379883,1000.000000,-634.619995,1918.849976,0.000000,-0.478469,-0.520629,0.520653,0.478469,0.000000,0.000000,-2.448700,-64.689995,5013.229980,1000.000000,-1300.849976,-1049.689941,0.000000,0.000003,0.000003,0.015610,0.999878,0.000000,0.000000,-6.000000
45,88.250000,4978.370117,1000.000000,-634.619995,1918.849976,0.000000,-0.483632,-0.515839,0.515859,0.483632,0.000000,0.000000,-2.390000,-75.529999,5004.479980,1000.000000,-1300.510010,-1049.419922,0.000000,0.000003,0.000003,-0.009390,0.999956,0.000000,0.000000,-6.000000
46,82.959999,4994.359863,1000.000000,-634.619995,1918.849976,0.000000,-0.488622,-0.511113,0.511136,0.488622,0.000000,0.000000,-2.332700,-86.360001,4995.739746,1000.000000,-1300.169922,-1049.150024,0.000000,0.000003,0.000003,-0.034384,0.999409,0.000000,0.000000,-6.000000
47,77.669998,5010.350098,1000.000000,-634.619995,1918.849976,0.000000,-0.493450,-0.506457,0.506472,0.493450,0.000000,0.000000,-2.276700,-97.189995,4987.000000,1000.000000,-1299.829956,-1048.880005,0.000000,0.000003,0.000003,-0.059356,0.998237,0.000000,0.000000,-6.000000
48,72.379997,5026.339844,1000.000000,-634.619995,1918.849976,0.000000,-0.498117,-0.501866,0.501886,0.498117,0.000000,0.000000,-2.222100,-108.019997,4978.259766,1000.000000,-1299.500000,-1048.609985,0.000000,0.000003,0.000003,-0.084291,0.996441,0.000000,0.000000,-6.000000
49,67.089996,5042.330078,1000.000000,-634.619995,1918.849976,0.000000,0.502632,0.497345,-0.497362,-0.502632,0.000000,0.000000,-2.168800,-118.849998,4969.520020,1000.000000,-1299.169922,-1048.339966,0.000000,0.000003,0.000003,-0.109172,0.994023,0.000000,0.000000,-6.000000
50,67.889999,5036.479980,1000.000000,96.430000,-560.029968,0.000000,-0.499536,-0.500464,0.500475,0.499525,-0.000800,-0.001600,1.260900,-129.669998,4960.790039,1000.000000,-1298.839966,-1048.069946,0.000000,0.000003,0.000003,-0.133988,0.990983,0.000000,0.000000,-6.000000
51,68.689995,5031.810059,1000.000000,96.430000,-560.019958,0.000000,-0.496968,-0.503021,0.503028,0.496946,-0.000700,-0.001500,1.230600,-140.489990,4952.060059,1000.000000,-1298.510010,-1047.799927,0.000000,0.000003,0.000003,-0.158718,0.987324,0.000000,0.000000,-6.000000
52,69.489998,5027.139648,1000.000000,96.430000,-560.010010,0.000000,-0.494448,-0.505502,0.505510,0.494416,-0.000600,-0.001400,1.201100,-151.309998,4943.330078,1000.000000,-1298.179932,-1047.530029,0.000000,0.000003,0.000003,-0.183351,0.983047,0.000000,0.000000,-6.000000
53,70.290001,5022.469727,1000.000000,96.430000,-560.010010,0.000000,-0.491978,-0.507914,0.507919,0.491934,-0.000500,-0.001300,1.172300,-162.129990,4934.600098,1000.000000,-1297.849976,-1047.260010,0.000000,0.000003,0.000003,-0.207865,0.978157,0.000000,0.000000,-6.000000
54,71.089996,5017.799805,1000.000000,96.430000,-560.010010,0.000000,-0.489555,-0.510255,0.510258,0.489501,-0.000400,-0.001200,1.144200,-172.940002,4925.879883,1000.000000,-1297.520020,-1046.989990,0.000000,0.000003,0.000003,-0.232250,0.972656,0.000000,0.000000,-6.000000
55,71.889999,5013.129883,1000.000000,96.430000,-560.010010,0.000000,0.487182,0.512531,-0.512526,-0.487117,-0.000300,-0.001100,1.116700,-183.750000,4917.159668,1000.000000,-1297.189941,-1046.719971,0.000000,0.000003,0.000003,-0.256488,0.966547,0.000000,0.000000,-6.000000
56,72.689995,5008.459961,1000.000000,96.430000,-560.010010,0.000000,0.484851,0.514740,-0.514733,-0.484781,-0.000200,-0.001000,1.089900,-194.559998,4908.439941,1000.000000,-1296.859985,-1046.449951,0.000000,0.000003,0.000003,-0.280571,0.959833,0.000000,0.000000,-6.000000
57,73.489998,5003.790039,1000.000000,96.430000,-560.010010,0.000000,0.482569,0.516882,-0.516875,-0.482494,-0.000100,-0.000900,1.063700,-205.360001,4899.719727,1000.000000,-1296.530029,-1046.179932,0.000000,0.000003,0.000003,-0.304475,0.952520,0.000000,0.000000,-6.000000
