frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
67,False,False,False,False,0.000000,1.000000,1.490000,5.610000,190.300003,2.960000,12.990000,162.739990,0.915872,-0.003450,-0.007620,-0.401382,-5.499200,0.000000,0.092100
68,False,False,False,False,0.000000,1.000000,1.510000,5.720000,191.610001,2.960000,12.990000,157.319992,0.924987,-0.003267,-0.007696,-0.379906,-5.499200,0.000000,0.092100
69,False,False,False,False,0.000000,1.000000,1.530000,5.830000,192.879990,2.960000,12.990000,151.899994,0.933598,-0.003083,-0.007766,-0.358224,-5.499200,0.000000,0.092000
70,False,False,False,False,0.000000,1.000000,1.550000,5.940000,194.099991,2.960000,12.990000,146.479996,0.941703,-0.002900,-0.007831,-0.336343,-5.499200,0.000000,0.092000
71,True,True,False,False,0.000000,0.000000,1.540000,7.590000,193.399994,-0.770000,197.759995,-84.570000,0.948874,-0.002727,-0.007890,-0.315546,-5.279500,0.000000,0.088300
72,False,False,True,True,1.000000,0.000000,1.600000,9.240000,192.649994,7.490000,197.750000,-90.119995,0.955325,-0.002857,-0.008041,-0.295434,-5.069600,0.045400,0.024000
73,False,False,True,True,1.000000,0.000000,1.740000,10.889999,191.849991,16.299999,197.739990,-95.680000,0.961117,-0.003294,-0.008278,-0.275996,-4.868100,0.088100,-0.042000
74,False,False,True,True,1.000000,0.000000,1.950000,12.540000,191.009995,25.109999,197.720001,-101.250000,0.966304,-0.004043,-0.008597,-0.257228,-4.674700,0.128000,-0.109700
75,False,False,True,True,1.000000,0.000000,2.230000,14.190000,190.119995,33.919998,197.690002,-106.829994,0.970937,-0.005101,-0.008990,-0.239112,-4.489100,0.165100,-0.179000
76,False,False,True,True,1.000000,0.000000,2.590000,15.839999,189.179993,42.730000,197.639999,-112.419998,0.975062,-0.006471,-0.009454,-0.221638,-4.311000,0.199300,-0.249700
77,False,False,True,True,1.000000,0.000000,3.020000,17.490000,188.199997,51.539997,197.559998,-118.019997,0.978721,-0.008154,-0.009983,-0.204790,-4.140200,0.230600,-0.321700
78,False,False,True,True,1.000000,0.000000,3.520000,19.139999,187.169998,60.349998,197.449997,-123.629997,0.981953,-0.010150,-0.010566,-0.188557,-3.976300,0.259000,-0.394900
79,False,False,True,True,1.000000,0.000000,4.100000,20.779999,186.089996,69.159996,197.300003,-129.259995,0.984794,-0.012459,-0.011197,-0.172917,-3.819100,0.284600,-0.469200
80,False,False,True,True,1.000000,0.000000,4.750000,22.420000,184.970001,77.970001,197.110001,-134.899994,0.987276,-0.015087,-0.011871,-0.157855,-3.668300,0.307300,-0.544500
81,False,False,True,True,1.000000,0.000000,5.470000,24.059999,183.800003,86.779999,196.879990,-140.559998,0.989427,-0.018027,-0.012589,-0.143354,-3.523600,0.327100,-0.620700
82,False,False,True,True,1.000000,0.000000,6.270000,25.699999,182.580002,95.589996,196.589996,-146.239990,0.991275,-0.021285,-0.013333,-0.129397,-3.384900,0.344100,-0.697600
83,False,False,True,True,1.000000,0.000000,7.140000,27.340000,181.309998,104.389999,196.239990,-151.929993,0.992842,-0.024857,-0.014105,-0.115964,-3.251900,0.358400,-0.775200
84,False,False,True,True,1.000000,0.000000,8.080000,28.969999,180.000000,113.189995,195.830002,-157.639999,0.994150,-0.028746,-0.014898,-0.103038,-3.124400,0.369900,-0.853300
85,False,False,True,True,1.000000,0.000000,9.099999,30.599998,178.639999,121.989998,195.349991,-163.369995,0.995218,-0.032954,-0.015707,-0.090603,-3.002300,0.378800,-0.931900
86,False,False,True,True,1.000000,0.000000,10.190000,32.219997,177.229996,130.779999,194.789993,-169.110001,0.996061,-0.037475,-0.016527,-0.078643,-2.885300,0.385100,-1.010900
87,False,False,True,True,1.000000,0.000000,11.349999,33.840000,175.769989,139.559998,194.149994,-174.860001,0.996695,-0.042314,-0.017347,-0.067141,-2.773300,0.388800,-1.090200
88,False,False,True,True,1.000000,0.000000,12.590000,35.450001,174.259995,148.339996,193.419998,-180.629990,0.997131,-0.047472,-0.018167,-0.056082,-2.666100,0.390000,-1.169700
89,False,False,True,True,1.000000,0.000000,13.900000,37.059998,172.709991,157.110001,192.599991,-186.409988,0.997382,-0.052942,-0.018982,-0.045443,-2.563500,0.388800,-1.249400
90,False,False,True,True,1.000000,0.000000,15.280000,38.660000,171.110001,165.869995,191.679993,-192.199997,0.997456,-0.058731,-0.019785,-0.035215,-2.465400,0.385300,-1.329200
91,False,False,True,True,1.000000,0.000000,16.740000,40.250000,169.459991,174.619995,190.649994,-198.000000,0.997361,-0.064832,-0.020573,-0.025380,-2.371600,0.379500,-1.409000
92,False,False,True,True,1.000000,0.000000,18.270000,41.829998,167.759995,183.349991,189.509995,-203.800003,0.997103,-0.071252,-0.021345,-0.015923,-2.282000,0.371500,-1.488800
93,False,False,True,True,1.000000,0.000000,19.869999,43.399998,166.009995,192.069992,188.259995,-209.610001,0.996686,-0.077985,-0.022089,-0.006827,-2.196400,0.361400,-1.568600
94,False,False,True,True,1.000000,0.000000,21.539999,44.959999,164.209991,200.769989,186.889999,-215.419998,0.996115,-0.085030,-0.022807,0.001918,-2.114700,0.349300,-1.648200
95,False,False,True,True,1.000000,0.000000,23.289999,46.500000,162.369995,209.449997,185.389999,-221.229996,0.995392,-0.092389,-0.023492,0.010328,-2.036800,0.335300,-1.727700
96,False,False,True,True,1.000000,0.000000,25.109999,48.029999,160.479996,218.099991,183.759995,-227.039993,0.994519,-0.100055,-0.024139,0.018415,-1.962600,0.319400,-1.807000
97,False,False,True,True,1.000000,0.000000,27.000000,49.549999,158.539993,226.729996,181.989990,-232.839996,0.993494,-0.108034,-0.024743,0.026189,-1.892000,0.301800,-1.886100
98,False,False,True,True,1.000000,0.000000,28.959999,51.049999,156.550003,235.330002,180.080002,-238.639999,0.992318,-0.116320,-0.025304,0.033666,-1.824900,0.282500,-1.964900
