frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
72,True,True,-1.000000,1.000000,285.089996,-212.739990,18.330000,513.760010,-965.190002,8.179999,0.004486,0.007216,-0.528058,0.849166,0.000000,0.000000,-2.369200
73,True,True,-1.000000,1.000000,289.399994,-220.839996,18.330000,499.899994,-983.579956,8.179999,0.004556,0.007172,-0.536415,0.843912,0.000000,0.000000,-2.368400
74,True,True,-1.000000,1.000000,293.600006,-229.099991,18.330000,485.459991,-1001.690002,8.179999,0.004626,0.007129,-0.544717,0.838577,0.000000,0.000000,-2.367700
75,True,True,-1.000000,1.000000,297.669983,-237.509995,18.330000,470.449982,-1019.509949,8.179999,0.004696,0.007081,-0.552966,0.833160,0.000000,0.000000,-2.367000
76,True,True,-1.000000,1.000000,301.619995,-246.069992,18.330000,454.880005,-1037.030029,8.179999,0.004766,0.007032,-0.561155,0.827667,0.000000,0.000000,-2.366300
77,True,True,-1.000000,1.000000,305.440002,-254.779999,18.330000,438.769989,-1054.219971,8.179999,0.004836,0.006984,-0.569291,0.822092,0.000000,0.000000,-2.365500
78,True,True,-1.000000,1.000000,309.119995,-263.630005,18.330000,422.119995,-1071.079956,8.179999,0.004907,0.006935,-0.577367,0.816441,0.000000,0.000000,-2.364600
79,True,True,-1.000000,1.000000,312.660004,-272.619995,18.330000,404.940002,-1087.589966,8.179999,0.004977,0.006886,-0.585384,0.810712,0.000000,0.000000,-2.363600
80,True,True,-1.000000,1.000000,316.059998,-281.750000,18.330000,387.239990,-1103.739990,8.179999,0.005047,0.006838,-0.593341,0.804906,0.000000,0.000000,-2.362500
81,True,True,-1.000000,1.000000,319.309998,-291.009979,18.330000,369.029999,-1119.510010,8.179999,0.005112,0.006789,-0.601233,0.799028,0.000000,0.000000,-2.361300
82,True,True,-1.000000,1.000000,322.399994,-300.410004,18.330000,350.329987,-1134.890015,8.179999,0.005176,0.006741,-0.609067,0.793073,0.000000,0.000000,-2.359900
83,True,True,-1.000000,1.000000,325.339996,-309.929993,18.330000,331.149994,-1149.869995,8.179999,0.005241,0.006692,-0.616835,0.787046,0.000000,0.000000,-2.358300
84,True,True,-1.000000,1.000000,328.119995,-319.579987,18.330000,311.500000,-1164.439941,8.179999,0.005306,0.006638,-0.624539,0.780947,0.000000,0.000000,-2.356600
85,True,True,-1.000000,1.000000,330.729980,-329.350006,18.330000,291.389984,-1178.579956,8.179999,0.005371,0.006584,-0.632178,0.774776,0.000100,0.000000,-2.354700
86,True,True,-1.000000,1.000000,333.169983,-339.239990,18.330000,270.829987,-1192.280029,8.179999,0.005435,0.006530,-0.639747,0.768538,0.000100,0.000000,-2.352600
87,True,True,-1.000000,1.000000,335.440002,-349.239990,18.330000,249.839996,-1205.530029,8.179999,0.005500,0.006476,-0.647251,0.762229,0.000200,0.000000,-2.350300
88,True,True,-1.000000,1.000000,337.529999,-359.350006,18.330000,228.429993,-1218.319946,8.179999,0.005565,0.006423,-0.654685,0.755854,0.000200,0.000000,-2.347800
89,True,True,-1.000000,1.000000,339.440002,-369.569977,18.330000,206.619995,-1230.640015,8.179999,0.005629,0.006369,-0.662049,0.749412,0.000200,0.000000,-2.345100
90,True,True,-1.000000,1.000000,341.169983,-379.889984,18.330000,184.419998,-1242.479980,8.179999,0.005694,0.006315,-0.669338,0.742910,0.000200,0.000000,-2.342200
91,True,True,-1.000000,1.000000,342.709991,-390.309998,18.330000,161.839996,-1253.829956,8.179999,0.005754,0.006261,-0.676556,0.736342,0.000200,0.000000,-2.339200
92,True,True,-1.000000,1.000000,344.059998,-400.829987,18.330000,138.899994,-1264.689941,8.179999,0.005813,0.006207,-0.683699,0.729715,0.000200,0.000000,-2.336000
93,True,True,-1.000000,1.000000,345.220001,-411.440002,18.330000,115.610001,-1275.039917,8.179999,0.005872,0.006153,-0.690771,0.723023,0.000200,0.000000,-2.332600
94,True,True,-1.000000,1.000000,346.190002,-422.130005,18.330000,91.989998,-1284.880005,8.179999,0.005932,0.006093,-0.697768,0.716273,0.000200,-0.000100,-2.329000
95,True,True,-1.000000,1.000000,346.959991,-432.910004,18.330000,68.049995,-1294.189941,8.179999,0.005991,0.006034,-0.704684,0.709470,0.000200,-0.000100,-2.325200
96,True,True,-1.000000,1.000000,347.529999,-443.759979,18.330000,43.809998,-1302.979980,8.179999,-0.006050,-0.005975,0.711527,-0.702607,0.000200,-0.000100,-2.321200
97,True,True,-1.000000,1.000000,347.889984,-454.690002,18.330000,19.279999,-1311.229980,8.179999,-0.006110,-0.005915,0.718290,-0.695691,0.000200,-0.000100,-2.317000
98,True,True,-1.000000,1.000000,348.049988,-465.690002,18.330000,-5.510000,-1318.939941,8.179999,-0.006169,-0.005856,0.724971,-0.688726,0.000200,-0.000100,-2.312600
99,True,True,-1.000000,1.000000,348.000000,-476.750000,18.330000,-30.559999,-1326.099976,8.179999,-0.006228,-0.005797,0.731575,-0.681708,0.000200,-0.000100,-2.308000
100,True,True,-1.000000,1.000000,347.739990,-487.869995,18.330000,-55.849998,-1332.709961,8.179999,-0.006282,-0.005737,0.738097,-0.674641,0.000200,0.000000,-2.303300
101,True,True,-1.000000,1.000000,347.269989,-499.039978,18.330000,-81.360001,-1338.770020,8.179999,-0.006336,-0.005678,0.744539,-0.667525,0.000200,0.000000,-2.298400
102,True,True,-1.000000,1.000000,346.579987,-510.259979,18.330000,-107.079994,-1344.270020,8.179999,-0.006390,-0.005619,0.750896,-0.660366,0.000200,0.000000,-2.293300
103,True,True,-1.000000,1.000000,345.679993,-521.529968,18.330000,-132.989990,-1349.199951,8.179999,-0.006444,-0.005559,0.757173,-0.653159,0.000200,0.000000,-2.288100
104,True,True,-1.000000,1.000000,344.559998,-532.839966,18.330000,-159.080002,-1353.569946,8.179999,-0.006498,-0.005500,0.763368,-0.645908,0.000200,-0.000100,-2.282700
105,True,True,-1.000000,1.000000,343.220001,-544.190002,18.330000,-185.330002,-1357.369995,8.179999,-0.006552,-0.005441,0.769475,-0.638620,0.000100,-0.000100,-2.277200
106,True,True,-1.000000,1.000000,341.660004,-555.570007,18.330000,-211.729996,-1360.599976,8.179999,-0.006606,-0.005376,0.775502,-0.631288,0.000000,-0.000100,-2.271500
107,True,True,-1.000000,1.000000,339.880005,-566.979980,18.330000,-238.250000,-1363.260010,8.179999,-0.006655,-0.005311,0.781443,-0.623919,0.000000,-0.000100,-2.265700
108,True,True,-1.000000,1.000000,337.880005,-578.409973,18.330000,-264.889984,-1365.349976,8.179999,-0.006703,-0.005246,0.787300,-0.616512,0.000000,-0.000100,-2.259700
109,True,True,-1.000000,1.000000,335.660004,-589.849976,18.330000,-291.630005,-1366.869995,8.179999,-0.006752,-0.005182,0.793069,-0.609072,0.000000,-0.000100,-2.253600
110,True,True,-1.000000,1.000000,333.209991,-601.309998,18.330000,-318.350006,-1367.539917,8.179999,-0.006800,-0.005117,0.798752,-0.601600,0.000100,-0.000100,-2.246900
111,True,True,-1.000000,1.000000,330.539978,-612.769958,18.330000,-344.850006,-1366.890015,8.179999,-0.006849,-0.005052,0.804349,-0.594096,0.000200,-0.000200,-2.239000
112,True,True,-1.000000,1.000000,327.649994,-624.229980,18.330000,-371.350006,-1365.569946,8.179999,-0.006897,-0.004988,0.809857,-0.586565,0.000300,-0.000200,-2.231200
113,True,True,-1.000000,1.000000,324.529999,-635.679993,18.330000,-397.889984,-1363.739990,8.179999,-0.006946,-0.004923,0.815274,-0.579012,0.000400,-0.000200,-2.223700
114,True,True,-1.000000,1.000000,321.190002,-647.109985,18.330000,-424.459991,-1361.400024,8.179999,-0.006994,-0.004858,0.820605,-0.571432,0.000400,-0.000200,-2.216400
115,True,True,-1.000000,1.000000,317.630005,-658.519958,18.330000,-451.029999,-1358.559937,8.179999,-0.007043,-0.004793,0.825846,-0.563831,0.000400,-0.000100,-2.209300
116,True,True,-1.000000,1.000000,313.850006,-669.909973,18.330000,-477.589996,-1355.219971,8.179999,-0.007086,-0.004729,0.831003,-0.556203,0.000400,0.000000,-2.202400
117,True,True,-1.000000,1.000000,309.839996,-681.269958,18.330000,-504.129974,-1351.380005,8.179999,-0.007129,-0.004664,0.836072,-0.548553,0.000400,0.000000,-2.195600
118,True,True,-1.000000,1.000000,305.609985,-692.589966,18.330000,-530.630005,-1347.039917,8.179999,-0.007172,-0.004599,0.841055,-0.540882,0.000400,0.000000,-2.188800
119,True,True,-1.000000,1.000000,301.160004,-703.880005,18.330000,-557.080017,-1342.209961,8.179999,-0.007216,-0.004534,0.845953,-0.533189,0.000400,0.000000,-2.182100
120,True,True,-1.000000,1.000000,296.489990,-715.130005,18.330000,-583.469971,-1336.890015,8.179999,-0.007259,-0.004470,0.850767,-0.525474,0.000300,0.000000,-2.175400
121,True,True,-1.000000,1.000000,291.600006,-726.329956,18.330000,-609.789978,-1331.089966,8.179999,-0.007302,-0.004405,0.855493,-0.517743,0.000300,0.000000,-2.168700
122,True,True,-1.000000,1.000000,286.489990,-737.479980,18.330000,-636.029968,-1324.809937,8.179999,-0.007340,-0.004340,0.860137,-0.509991,0.000200,0.000000,-2.162000
123,True,True,-1.000000,1.000000,281.160004,-748.579956,18.330000,-662.179993,-1318.049927,8.179999,-0.007377,-0.004275,0.864696,-0.502222,0.000200,0.000000,-2.155300
124,True,True,-1.000000,1.000000,275.609985,-759.619995,18.330000,-688.229980,-1310.819946,8.179999,-0.007415,-0.004211,0.869171,-0.494438,0.000100,0.000000,-2.148500
125,True,True,-1.000000,1.000000,269.839996,-770.599976,18.330000,-714.169983,-1303.119995,8.179999,-0.007453,-0.004146,0.873563,-0.486637,0.000100,0.000000,-2.141700
126,True,True,-1.000000,1.000000,263.850006,-781.519958,18.330000,-739.989990,-1294.949951,8.179999,-0.007491,-0.004081,0.877872,-0.478820,0.000000,0.000000,-2.134800
127,True,True,-1.000000,1.000000,257.649994,-792.369995,18.330000,-765.679993,-1286.319946,8.179999,-0.007528,-0.004016,0.882096,-0.470992,0.000000,0.000000,-2.127800
128,True,True,-1.000000,1.000000,251.229996,-803.149963,18.330000,-791.239990,-1277.229980,8.179999,-0.007566,-0.003952,0.886237,-0.463153,0.000000,0.000000,-2.121000
129,True,True,-1.000000,1.000000,244.599991,-813.849976,18.330000,-816.669983,-1267.659912,8.179999,-0.007599,-0.003887,0.890295,-0.455304,0.000000,0.000000,-2.115000
130,True,True,-1.000000,1.000000,237.750000,-824.469971,18.330000,-841.969971,-1257.609985,8.179999,-0.007631,-0.003822,0.894274,-0.447438,0.000000,0.000000,-2.109700
131,True,True,-1.000000,1.000000,230.690002,-835.010010,18.330000,-867.119995,-1247.099976,8.179999,-0.007663,-0.003757,0.898172,-0.439562,0.000000,0.000000,-2.104900
132,True,True,-1.000000,1.000000,223.419998,-845.459961,18.330000,-892.119995,-1236.119995,8.179999,-0.007696,-0.003693,0.901992,-0.431669,-0.000100,-0.000100,-2.100600
133,True,True,-1.000000,1.000000,215.940002,-855.809998,18.330000,-916.949951,-1224.679932,8.179999,-0.007728,-0.003623,0.905734,-0.423760,-0.000100,-0.000100,-2.096700
134,True,True,-1.000000,1.000000,208.250000,-866.070007,18.330000,-941.609985,-1212.789917,8.179999,-0.007760,-0.003552,0.909402,-0.415830,-0.000100,-0.000100,-2.093200
135,True,True,-1.000000,1.000000,200.360001,-876.229980,18.330000,-966.089966,-1200.439941,8.179999,-0.007793,-0.003482,0.912994,-0.407883,-0.000100,-0.000100,-2.090000
136,True,True,-1.000000,1.000000,192.259995,-886.279968,18.330000,-990.389954,-1187.640015,8.179999,-0.007825,-0.003412,0.916512,-0.399915,-0.000100,0.000000,-2.087000
137,True,True,-1.000000,1.000000,183.959991,-896.229980,18.330000,-1014.500000,-1174.390015,8.179999,-0.007852,-0.003342,0.919955,-0.391931,-0.000100,0.000000,-2.084300
138,True,True,-1.000000,1.000000,175.459991,-906.070007,18.330000,-1038.410034,-1160.689941,8.179999,-0.007879,-0.003272,0.923325,-0.383925,0.000000,0.000000,-2.081700
139,True,True,-1.000000,1.000000,166.759995,-915.789978,18.330000,-1062.109985,-1146.539917,8.179999,-0.007906,-0.003202,0.926620,-0.375903,0.000000,0.000000,-2.079300
140,True,True,-1.000000,1.000000,157.860001,-925.389954,18.330000,-1085.599976,-1131.949951,8.179999,-0.007933,-0.003132,0.929842,-0.367859,0.000000,0.000000,-2.077000
141,True,True,-1.000000,1.000000,148.759995,-934.869995,18.330000,-1108.869995,-1116.919922,8.179999,-0.007960,-0.003062,0.932991,-0.359799,0.000000,0.000000,-2.074900
142,True,True,-1.000000,1.000000,139.470001,-944.219971,18.330000,-1131.919922,-1101.449951,8.179999,-0.007987,-0.002991,0.936067,-0.351718,0.000000,0.000000,-2.072800
143,True,True,-1.000000,1.000000,129.989990,-953.440002,18.330000,-1154.729980,-1085.539917,8.179999,-0.008014,-0.002921,0.939070,-0.343620,0.000000,0.000000,-2.070800
144,True,True,-1.000000,1.000000,120.309998,-962.529968,18.330000,-1177.299927,-1069.199951,8.179999,-0.008041,-0.002851,0.941999,-0.335506,0.000100,0.000000,-2.068900
145,True,True,-1.000000,1.000000,110.449997,-971.479980,18.330000,-1199.630005,-1052.429932,8.179999,-0.008068,-0.002781,0.944857,-0.327371,0.000100,0.000000,-2.067000
146,True,True,-1.000000,1.000000,100.400002,-980.289978,18.330000,-1221.699951,-1035.229980,8.179999,-0.008090,-0.002711,0.947642,-0.319219,0.000100,0.000000,-2.065200
147,True,True,-1.000000,1.000000,90.159996,-988.959961,18.330000,-1243.510010,-1017.599976,8.179999,-0.008111,-0.002641,0.950355,-0.311052,0.000100,0.000000,-2.063400
148,True,True,-1.000000,1.000000,79.739998,-997.479980,18.330000,-1265.049927,-999.549988,8.179999,-0.008133,-0.002571,0.952994,-0.302868,0.000100,0.000000,-2.061600
149,True,True,-1.000000,1.000000,69.139999,-1005.849976,18.330000,-1286.319946,-981.079956,8.179999,-0.008154,-0.002500,0.955560,-0.294673,0.000200,0.000000,-2.059800
