frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
147,True,True,6.940000,0.000000,340.529999,7.910000,0.000000,21.650000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
148,True,True,7.010000,0.000000,340.669983,7.910000,0.000000,16.230000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
149,True,True,7.080000,0.000000,340.759979,7.910000,0.000000,10.809999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
150,True,True,7.150000,0.000000,340.799988,7.910000,0.000000,5.390000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
151,True,True,7.220000,0.000000,340.799988,7.910000,0.000000,-0.020000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
152,True,True,7.290000,0.000000,340.750000,7.910000,0.000000,-5.430000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
153,True,True,7.360000,0.000000,340.660004,7.910000,0.000000,-10.840000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
154,True,True,7.430000,0.000000,340.519989,7.910000,0.000000,-16.250000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
155,True,True,7.500000,0.000000,340.339996,7.910000,0.000000,-21.660000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
156,True,True,7.570000,0.000000,340.109985,7.910000,0.000000,-27.070000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
157,True,True,7.640000,0.000000,339.839996,7.910000,0.000000,-32.480000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
158,True,True,7.710000,0.000000,339.519989,7.910000,0.000000,-37.889999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
159,True,True,7.780000,0.000000,339.160004,7.910000,0.000000,-43.299999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
160,True,True,7.850000,0.000000,338.750000,7.910000,0.000000,-48.709999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
161,True,True,7.920000,0.000000,338.299988,7.910000,0.000000,-54.119999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
162,True,True,7.990000,0.000000,337.799988,7.910000,0.000000,-59.529999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
163,True,True,8.059999,0.000000,337.259979,7.910000,0.000000,-64.939995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
164,True,True,8.130000,0.000000,336.669983,7.910000,0.000000,-70.349998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
165,True,True,8.200000,0.000000,336.039978,7.910000,0.000000,-75.759995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
166,True,True,8.270000,0.000000,335.359985,7.910000,0.000000,-81.169998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
167,True,True,8.340000,0.000000,334.639984,7.910000,0.000000,-86.580002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
168,True,True,8.410000,0.000000,333.869995,7.910000,0.000000,-91.989998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
169,True,True,8.480000,0.000000,333.059998,7.910000,0.000000,-97.400002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
170,True,True,8.550000,0.000000,332.199982,7.910000,0.000000,-102.809998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
171,True,True,8.620000,0.000000,331.299988,7.910000,0.000000,-108.220001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
172,True,True,8.690000,0.000000,330.350006,7.910000,0.000000,-113.629997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
173,True,True,8.760000,0.000000,329.359985,7.910000,0.000000,-119.040001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
