frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
78,False,False,0.370000,0.000000,87.369995,0.000000,0.000000,-102.349998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
79,False,False,0.370000,0.000000,86.470001,0.000000,0.000000,-107.759995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
80,False,False,0.370000,0.000000,85.529999,0.000000,0.000000,-113.169998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
81,False,False,0.370000,0.000000,84.540001,0.000000,0.000000,-118.579994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
82,False,False,0.370000,0.000000,83.509995,0.000000,0.000000,-123.989998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
83,False,False,0.370000,0.000000,82.430000,0.000000,0.000000,-129.399994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
84,False,False,0.370000,0.000000,81.309998,0.000000,0.000000,-134.809998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
85,False,False,0.370000,0.000000,80.139999,0.000000,0.000000,-140.220001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
86,False,False,0.370000,0.000000,78.930000,0.000000,0.000000,-145.629990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
87,False,False,0.370000,0.000000,77.669998,0.000000,0.000000,-151.039993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
88,False,False,0.370000,0.000000,76.369995,0.000000,0.000000,-156.449997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
89,False,False,0.370000,0.000000,75.019997,0.000000,0.000000,-161.860001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
90,False,False,0.370000,0.000000,73.629997,0.000000,0.000000,-167.269989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
91,False,False,0.370000,0.000000,72.189995,0.000000,0.000000,-172.679993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
92,False,False,0.370000,0.000000,70.709999,0.000000,0.000000,-178.089996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
93,False,False,0.370000,0.000000,69.180000,0.000000,0.000000,-183.500000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
94,False,False,0.370000,0.000000,67.610001,0.000000,0.000000,-188.909988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
95,False,False,0.370000,0.000000,65.989998,0.000000,0.000000,-194.319992,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
96,False,False,0.370000,0.000000,64.330002,0.000000,0.000000,-199.729996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
97,False,False,0.370000,0.000000,62.619999,0.000000,0.000000,-205.139999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
98,False,False,0.370000,0.000000,60.869999,0.000000,0.000000,-210.549988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
99,False,False,0.370000,0.000000,59.070000,0.000000,0.000000,-215.959991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
100,False,False,0.370000,0.000000,57.230000,0.000000,0.000000,-221.369995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
101,False,False,0.370000,0.000000,55.340000,0.000000,0.000000,-226.779999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
102,False,False,0.370000,0.000000,53.410000,0.000000,0.000000,-232.189987,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
103,False,False,0.370000,0.000000,51.430000,0.000000,0.000000,-237.599991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
104,False,False,0.370000,0.000000,49.399998,0.000000,0.000000,-243.009995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
105,False,False,0.370000,0.000000,47.329998,0.000000,0.000000,-248.419998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
106,False,False,0.370000,0.000000,45.209999,0.000000,0.000000,-253.830002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
107,False,False,0.370000,0.000000,43.049999,0.000000,0.000000,-259.239990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
108,False,False,0.370000,0.000000,40.840000,0.000000,0.000000,-264.649994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
109,False,False,0.370000,0.000000,38.590000,0.000000,0.000000,-270.059998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
110,False,False,0.370000,0.000000,36.290001,0.000000,0.000000,-275.470001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
111,False,False,0.370000,0.000000,33.950001,0.000000,0.000000,-280.880005,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
112,False,False,0.370000,0.000000,31.559999,0.000000,0.000000,-273.570007,0.000003,0.008548,0.000003,0.999963,0.000000,0.002500,0.000000
113,False,False,0.370000,0.000000,29.209999,0.090000,0.000000,-260.119995,0.000003,0.008559,0.000003,0.999963,0.000000,0.006800,0.000000
