frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
66,True,True,-1.000000,0.000000,36.209999,1002.039978,0.000000,420.919983,0.580000,-0.659573,0.659578,-0.254870,-0.254875,-5.499900,0.000000,0.000000,0.000000,385.889984,969.349976,0.000000,783.559998,-60.849998,0.534019,0.000003,0.000003,0.845472,2.291600,0.000000,0.000000
67,True,True,-1.000000,0.000000,39.719997,1002.039978,0.000000,420.919983,0.580000,-0.651589,0.651601,-0.274631,-0.274637,-5.499900,0.000000,0.000000,0.000000,392.419983,968.839966,0.000000,783.359985,-60.829998,0.542068,0.000003,0.000003,0.840334,2.291600,0.000000,0.000000
68,True,True,-1.000000,0.000000,43.230000,1002.039978,0.000000,420.919983,0.580000,-0.643016,0.643028,-0.294144,-0.294150,-5.500000,0.000000,0.000000,0.000000,398.949982,968.329956,0.000000,783.159973,-60.809998,0.550069,0.000003,0.000003,0.835119,2.291600,0.000000,0.000000
69,True,True,-1.000000,0.000000,46.739998,1002.039978,0.000000,420.919983,0.580000,-0.633856,0.633871,-0.313393,-0.313398,-5.499900,0.000000,0.000000,0.000000,405.470001,967.820007,0.000000,782.959961,-60.789997,0.558016,0.000003,0.000003,0.829830,2.291600,0.000000,0.000000
70,True,True,-1.000000,0.000000,50.250000,1002.039978,0.000000,420.919983,0.580000,-0.624124,0.624135,-0.332356,-0.332361,-5.499900,0.000000,0.000000,0.000000,411.989990,967.309998,0.000000,782.760010,-60.770000,0.565914,0.000003,0.000003,0.824464,2.291600,0.000000,0.000000
71,True,True,-1.000000,0.000000,53.759998,1002.039978,0.000000,420.919983,0.580000,-0.613825,0.613832,-0.351016,-0.351022,-5.499900,0.000000,0.000000,0.000000,418.509979,966.799988,0.000000,782.559998,-60.750000,0.573758,0.000003,0.000003,0.819025,2.291600,0.000000,0.000000
72,True,True,-1.000000,0.000000,57.270000,1002.039978,0.000000,420.919983,0.580000,-0.602965,0.602973,-0.369359,-0.369364,-5.499900,0.000000,0.000000,0.000000,425.029999,966.289978,0.000000,782.359985,-60.730000,0.581553,0.000003,0.000003,0.813508,2.291600,0.000000,0.000000
73,True,True,-1.000000,0.000000,60.779999,1002.039978,0.000000,420.919983,0.580000,-0.591560,0.591562,-0.387367,-0.387372,-5.499900,0.000000,0.000000,0.000000,431.549988,965.779968,0.000000,782.159973,-60.709999,0.589295,0.000003,0.000003,0.807918,2.291600,0.000000,0.000000
74,True,True,-1.000000,0.000000,64.290001,1002.039978,0.000000,420.919983,0.580000,-0.579616,0.579621,-0.405019,-0.405024,-5.499900,0.000000,0.000000,0.000000,438.069977,965.269958,0.000000,781.959961,-60.689999,0.596982,0.000003,0.000003,0.802254,2.291600,0.000000,0.000000
75,True,True,-1.000000,0.000000,67.799995,1002.039978,0.000000,420.919983,0.580000,-0.567144,0.567153,-0.422304,-0.422309,-5.499900,0.000000,0.000000,0.000000,444.579987,964.759949,0.000000,781.760010,-60.669998,0.604616,0.000003,0.000003,0.796517,2.291600,0.000000,0.000000
76,True,True,-1.000000,0.000000,71.309998,1002.039978,0.000000,420.919983,0.580000,-0.554158,0.554167,-0.439206,-0.439211,-5.499900,0.000000,0.000000,0.000000,451.089996,964.250000,0.000000,781.559998,-60.649998,0.612196,0.000003,0.000003,0.790706,2.291600,0.000000,0.000000
77,True,True,-1.000000,0.000000,74.820000,1002.039978,0.000000,420.919983,0.580000,-0.540671,0.540675,-0.455708,-0.455714,-5.499900,0.000000,0.000000,0.000000,457.599976,963.739990,0.000000,781.359985,-60.629997,0.619716,0.000003,0.000003,0.784826,2.291600,0.000000,0.000000
78,True,True,-1.000000,0.000000,78.330002,1002.039978,0.000000,420.919983,0.580000,-0.526688,0.526700,-0.471796,-0.471801,-5.499900,0.000000,0.000000,0.000000,464.109985,963.229980,0.000000,781.159973,-60.609997,0.627182,0.000003,0.000003,0.778872,2.291600,0.000000,0.000000
79,True,True,-1.000000,0.000000,81.839996,1002.039978,0.000000,420.919983,0.580000,-0.512230,0.512237,-0.487457,-0.487462,-5.499900,0.000000,0.000000,0.000000,470.619995,962.729980,0.000000,780.959961,-60.590000,0.634590,0.000003,0.000003,0.772849,2.291600,0.000000,0.000000
80,True,True,-1.000000,0.000000,85.349998,1002.039978,0.000000,420.919983,0.580000,-0.501197,0.501209,-0.498791,-0.498797,-5.368000,0.000000,0.000000,0.000000,477.129974,962.229980,0.000000,780.760010,-60.570000,0.641937,0.000003,0.000003,0.766757,2.291600,0.000000,0.000000
81,True,True,-1.000000,0.000000,88.860001,1002.039978,0.000000,420.919983,0.580000,0.490192,-0.490203,0.509613,0.509615,-5.239300,0.000000,0.000000,0.000000,483.629974,961.729980,0.000000,780.559998,-60.549999,0.649231,0.000003,0.000003,0.760591,2.291600,0.000000,0.000000
82,True,True,-1.000000,0.000000,92.369995,1002.039978,0.000000,420.919983,0.580000,0.479224,-0.479235,0.519939,0.519943,-5.113700,0.000000,0.000000,0.000000,490.129974,961.229980,0.000000,780.359985,-60.529999,0.656466,0.000003,0.000003,0.754356,2.291600,0.000000,0.000000
83,True,True,-1.000000,0.000000,95.879997,1002.039978,0.000000,420.919983,0.580000,0.468311,-0.468321,0.529790,0.529795,-4.991100,0.000000,0.000000,0.000000,496.629974,960.729980,0.000000,780.159973,-60.509998,0.663641,0.000003,0.000003,0.748051,2.291600,0.000000,0.000000
84,True,True,-1.000000,0.000000,99.389999,1002.039978,0.000000,420.919983,0.580000,0.457462,-0.457472,0.539188,0.539189,-4.871400,0.000000,0.000000,0.000000,503.129974,960.229980,0.000000,779.959961,-60.489998,0.670751,0.000003,0.000003,0.741682,2.291600,0.000000,0.000000
85,True,True,-1.000000,0.000000,102.899994,1002.039978,0.000000,420.919983,0.580000,0.446688,-0.446699,0.548143,0.548150,-4.754600,0.000000,0.000000,0.000000,509.629974,959.729980,0.000000,779.760010,-60.469997,0.677802,0.000003,0.000003,0.735244,2.291600,0.000000,0.000000
